,brand,model,case_material,strap_material,movement_type,water_resistance,case_diameter,case_thickness,band_width,dial_color,crystal_material,complications,power_reserve,price
73,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,20.0,Blue,Sapphire,Date,45,49800.0
74,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60,41.0,12.5,20.0,Black,Sapphire,"Date, Chronograph",44,5500.0
75,Panerai,Luminor,Titanium,Rubber,Automatic,300,44.0,15.65,24.0,Black,Sapphire,Date,72,9600.0
76,Breguet,Type XX,Stainless Steel,Leather,Automatic,100,39.5,14.1,20.0,Black,Sapphire,"Date, Chronograph, Flyback",48,8800.0
77,Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300,43.0,13.4,23.0,Black,Sapphire,Date,120,14700.0
78,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,42.0,10.88,22.0,Blue,Sapphire,Date,54,10600.0
79,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150,41.0,11.0,20.0,Black,Sapphire,Date,60,19200.0
80,Zenith,El Primero,Stainless Steel,Leather,Automatic,100,38.0,12.15,19.0,Silver,Sapphire,Chronograph,50,7500.0
81,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50,42.0,12.67,20.0,Black,Sapphire,Chronograph,48,5600.0
82,Longines,HydroConquest,Stainless Steel,Stainless Steel,Automatic,300,43.0,12.75,22.0,Blue,Sapphire,Date,64,1400.0
89,Tudor,Black Bay,Stainless Steel,Leather,Automatic,200,41.0,12.75,22.0,Black,Sapphire,Date,70,3500.0
90,Seiko,Prospex,Stainless Steel,Silicone,Automatic,200,42.3,13.4,22.0,Blue,Hardlex,None,50,650.0
91,Citizen,Promaster,Titanium,Titanium,Eco-Drive,200,46.5,15.0,23.0,Black,Sapphire,Chronograph,5040,995.0
92,Hamilton,Khaki Field Auto,Stainless Steel,Leather,Automatic,100,38.0,9.85,20.0,Black,Sapphire,None,80,545.0
93,Bulova,Precisionist,Stainless Steel,Stainless Steel,Quartz,300,46.5,17.5,24.0,Black,Mineral,Chronograph,60,650.0
94,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50,42.0,14.3,20.0,Black,Hesalite,"Chronograph, Tachymeter",48,5500.0
95,Breitling,Superocean Heritage,Stainless Steel,Rubber,Automatic,200,42.0,14.35,22.0,Black,Sapphire,Date,38,4800.0
96,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50,40.0,8.8,20.0,Silver,Sapphire,Date,70,6500.0
97,Cartier,Santos,Stainless Steel,Stainless Steel,Automatic,100,39.8,9.08,21.5,Silver,Sapphire,Date,42,7500.0
98,Zenith,Elite,Stainless Steel,Leather,Automatic,50,40.5,9.15,20.0,Silver,Sapphire,None,50,4500.0
99,Panerai,Luminor Base,Stainless Steel,Leather,Manual,100,44.0,10.5,24.0,Black,Sapphire,None,56,5800.0
100,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Silver,Sapphire,Date,60,21000.0
101,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60,41.0,10.86,20.0,Black,Sapphire,Date,42,3800.0
102,Tudor,Black Bay,Stainless Steel,Leather,Automatic,200,41.0,12.7,22.0,Black,Sapphire,Date,70,3900.0
103,Longines,Conquest VHP,Stainless Steel,Stainless Steel,Quartz,50,41.0,12.1,20.0,Black,Sapphire,"Chronograph, Date",60,1500.0
104,Sinn,U1,Stainless Steel,Rubber,Automatic,1000,44.0,14.3,22.0,Black,Sapphire,None,38,2500.0
105,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.8,8.3,20.0,Blue,Sapphire,"Date, Power Reserve, Moon Phase",45,38000.0
106,Audemars Piguet,Royal Oak,Rose Gold,Rose Gold,Automatic,50,41.0,9.8,20.0,Blue,Sapphire,Date,60,55000.0
107,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150,41.0,11.0,22.0,Blue,Sapphire,"Date, Power Reserve",40,21000.0
108,A. Lange & Sohne,Saxonia,White Gold,Leather,Manual,30,38.5,7.8,18.0,Silver,Sapphire,None,45,23000.0
109,Breguet,Classique,Rose Gold,Leather,Manual,30,38.5,8.25,20.0,Silver,Sapphire,Power Reserve,65,23000.0
110,IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Blue,Sapphire,None,60,8500.0
111,Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300,45.0,15.5,23.0,Black,Sapphire,Date,120,14000.0
112,Hublot,Big Bang,Titanium,Rubber,Automatic,100,44.0,14.5,24.0,Blue,Sapphire,Chronograph,72,16000.0
113,Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300,44.0,15.65,24.0,Black,Sapphire,None,72,8500.0
114,Zenith,El Primero,Stainless Steel,Leather,Automatic,100,42.0,12.75,20.0,Silver,Sapphire,Chronograph,50,6000.0
115,Piaget,Altiplano,White Gold,Leather,Manual,30,38.0,6.1,20.0,Silver,Sapphire,None,43,16500.0
116,Seiko,Prospex,Stainless Steel,Silicone,Automatic,200,44.3,12.7,20.0,Blue,Sapphire,Day/Date,41,1200.0
117,Panerai,Luminor Due,Stainless Steel,Leather,Automatic,30,38.0,11.2,20.0,Black,Sapphire,None,72,6500.0
118,IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Blue,Sapphire,"Chronograph, Moon Phase",46,9800.0
119,Blancpain,Fifty Fathoms,Titanium,Rubber,Automatic,300,45.0,15.5,23.0,Black,Sapphire,None,120,16800.0
120,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.5,20.0,Black,Sapphire,Date,60,19800.0
121,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.8,8.3,20.0,Blue,Sapphire,Date,45,47000.0
122,Breguet,Classique,18K Rose Gold,Leather,Automatic,30,40.0,6.8,20.0,White,Sapphire,None,55,19000.0
123,Vacheron Constantin,Patrimony,18K White Gold,Leather,Manual,30,40.0,6.79,20.0,Silver,Sapphire,None,65,18500.0
124,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50,44.0,14.97,22.0,Black,Sapphire,Chronograph,42,5800.0
125,Longines,Conquest,Stainless Steel,Stainless Steel,Automatic,300,41.0,13.2,20.0,Black,Sapphire,Chronograph,54,2200.0
126,Montblanc,1858,Stainless Steel,Leather,Manual,30,44.0,12.3,22.0,Black,Sapphire,None,50,3500.0
127,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100,40.0,12.5,20.0,Black,Sapphire,"GMT, Date",70,9950.0
128,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50,42.0,13.7,20.0,Black,Hesalite,Chronograph,48,4950.0
129,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.8,8.3,20.0,Blue,Sapphire,Date,45,38000.0
130,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Blue,Sapphire,Date,60,22000.0
131,IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Silver,Sapphire,None,46,7500.0
132,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50,39.0,7.58,20.0,Silver,Sapphire,Date,70,8900.0
133,Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300,45.0,15.4,23.0,Black,Sapphire,Date,120,13900.0
134,Breguet,Classique,Rose Gold,Leather,Manual,30,40.0,6.8,20.0,Silver,Sapphire,None,65,20500.0
135,Ulysse Nardin,Marine,Titanium,Rubber,Automatic,300,44.0,14.5,22.0,Blue,Sapphire,Date,60,9500.0
136,Hublot,Big Bang,Ceramic,Rubber,Automatic,100,41.0,14.5,20.0,Black,Sapphire,Chronograph,72,16000.0
137,Zenith,El Primero,Stainless Steel,Leather,Automatic,100,38.0,12.75,20.0,White,Sapphire,Chronograph,50,5500.0
138,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100,41.0,11.8,20.0,Black,Sapphire,Date,70,8200.0
139,Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50,42.0,13.2,20.0,Black,Hesalite,"Chronograph, Tachymeter",48,5500.0
140,Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30,33.0,9.96,18.0,Silver,Sapphire,Date,42,6500.0
141,Breitling,Superocean,Stainless Steel,Rubber,Automatic,500,42.0,13.32,20.0,Blue,Sapphire,Date,38,3600.0
142,Patek Philippe,Calatrava,Rose Gold,Leather,Manual,30,36.0,7.45,18.0,White,Sapphire,None,44,18000.0
143,Hublot,Big Bang,Titanium,Rubber,Automatic,100,42.0,14.5,24.0,Black,Sapphire,"Chronograph, Date",72,8900.0
144,Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300,45.0,15.4,23.0,Black,Sapphire,"Date, Rotating Bezel",120,13500.0
145,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Blue,Sapphire,Date,60,26000.0
146,Zenith,El Primero,Stainless Steel,Leather,Automatic,100,42.0,12.75,22.0,Black,Sapphire,Chronograph,50,6500.0
147,IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.5,12.3,22.0,Silver,Sapphire,None,60,7800.0
148,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50,38.0,7.58,20.0,Silver,Sapphire,None,70,4500.0
149,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,22.0,Blue,Sapphire,Date,45,29800.0
150,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Black,Sapphire,Date,60,23100.0
152,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150,41.5,11.0,22.0,Blue,Sapphire,Date,40,18900.0
153,Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300,45.0,15.5,23.0,Black,Sapphire,Date,120,12800.0
154,Hublot,Big Bang,Ceramic,Rubber,Automatic,100,44.0,14.5,26.0,Black,Sapphire,Chronograph,72,17900.0
155,Breguet,Classique,18k Rose Gold,Leather,Manual,30,39.0,8.65,20.0,Silver,Sapphire,None,40,15200.0
156,Ulysse Nardin,Marine,Stainless Steel,Leather,Automatic,100,42.2,14.2,22.0,Blue,Sapphire,Date,60,8400.0
157,Zenith,Defy,Titanium,Rubber,Automatic,100,41.0,10.75,22.0,Blue,Sapphire,Chronograph,50,9500.0
158,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,42.0,10.88,22.0,Silver,Sapphire,None,46,9200.0
159,Panerai,Luminor,Stainless Steel,Leather,Manual,100,44.0,13.05,24.0,Black,Sapphire,None,56,7500.0
160,Seiko,Prospex,Stainless Steel,Silicone,Automatic,200,43.0,13.2,22.0,Blue,Hardlex,Date,50,1300.0
161,Tissot,Le Locle,Stainless Steel,Leather,Automatic,30,39.3,9.75,20.0,Silver,Sapphire,Date,38,650.0
162,Longines,Master Collection,Stainless Steel,Leather,Automatic,30,40.0,10.25,20.0,Black,Sapphire,Date,64,2500.0
163,Hamilton,Jazzmaster,Stainless Steel,Leather,Automatic,50,40.0,11.15,20.0,Silver,Sapphire,Date,80,1150.0
164,Montblanc,Heritage,Stainless Steel,Leather,Automatic,50,40.0,9.85,20.0,Silver,Sapphire,Date,42,2750.0
165,Rado,True Thinline,High-Tech Ceramic,Leather,Quartz,30,39.0,5.0,22.0,Black,Sapphire,None,60,1600.0
166,Frederique Constant,Classics,Stainless Steel,Leather,Automatic,50,40.0,10.5,20.0,Silver,Sapphire,Date,38,1400.0
167,Zenith,Elite,Stainless Steel,Leather,Automatic,50,40.5,8.15,22.0,White,Sapphire,Date,50,5500.0
168,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,38.0,10.88,25.0,Black,Sapphire,Date,46,8700.0
169,Ulysse Nardin,Marine Torpilleur,Stainless Steel,Leather,Automatic,50,42.0,11.15,20.0,Blue,Sapphire,Date,60,7900.0
170,Sinn,U50,German Submarine Steel,Silicone,Automatic,500,45.0,14.7,22.0,Black,Sapphire,None,38,3350.0
171,Rolex,Datejust,Stainless Steel,Jubilee,Automatic,100,36.0,12.5,20.0,Black,Sapphire,Date,70,8000.0
172,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50,42.0,13.5,20.0,Black,Sapphire,Chronograph,60,6500.0
173,Cartier,Ballon Bleu,Stainless Steel,Leather,Automatic,30,33.0,9.96,16.0,Silver,Sapphire,Date,42,4500.0
174,Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Quartz,300,43.0,10.8,20.0,Blue,Sapphire,None,60,1800.0
175,Breitling,Superocean,Stainless Steel,Rubber,Automatic,2000,42.0,13.32,20.0,Blue,Sapphire,Date,38,3600.0
176,IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Blue,Sapphire,Date,60,8900.0
177,Panerai,Luminor Marina,Titanium,Leather,Manual,300,44.0,13.05,24.0,Black,Sapphire,None,56,5700.0
178,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,22.0,Blue,Sapphire,Date,45,34000.0
179,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50,39.0,7.58,20.0,Silver,Sapphire,None,43,6800.0
180,Bell & Ross,BR V2-92,Stainless Steel,Rubber,Automatic,100,41.0,9.7,22.0,Black,Sapphire,Date,40,2500.0
181,Montblanc,1858,Bronze,Leather,Automatic,100,44.0,12.8,22.0,Black,Sapphire,None,42,5300.0
183,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Black,Sapphire,Date,60,22000.0
184,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150,41.0,11.0,21.0,Blue,Sapphire,Date,60,17500.0
185,IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,13.1,22.0,Silver,Sapphire,Date,60,8500.0
186,Hublot,Big Bang,Ceramic,Rubber,Automatic,100,44.5,14.5,22.0,Black,Sapphire,Chronograph,72,15000.0
187,Zenith,El Primero,Stainless Steel,Leather,Automatic,100,38.0,12.4,19.0,White,Sapphire,Chronograph,50,6000.0
188,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50,42.0,12.67,20.0,Black,Sapphire,Chronograph,48,5000.0
189,Panerai,Luminor,Titanium,Rubber,Automatic,300,44.0,13.05,24.0,Black,Sapphire,None,72,8500.0
190,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,42.0,10.88,22.0,Blue,Sapphire,Date,54,9000.0
191,Blancpain,Fifty Fathoms,Stainless Steel,NATO Strap,Automatic,300,45.0,15.5,23.0,Black,Sapphire,None,120,12500.0
192,Bulgari,Octo Finissimo,Titanium,Leather,Automatic,30,40.0,5.5,21.0,Black,Sapphire,None,55,10000.0
193,Tudor,Black Bay,Stainless Steel,Leather,Automatic,200,41.0,12.7,22.0,Black,Sapphire,Date,70,3800.0
194,Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300,44.0,13.05,22.0,Black,Sapphire,Date,72,8900.0
195,Hublot,Big Bang,Titanium,Rubber,Automatic,100,44.0,14.5,25.0,Black,Sapphire,Chronograph,72,16800.0
196,IWC,Portugieser,Stainless Steel,Leather,Automatic,30,40.9,12.3,20.0,Silver,Sapphire,Date,44,6900.0
198,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150,41.5,11.0,21.0,Silver,Sapphire,Date,40,19500.0
199,Breguet,Classique,18k White Gold,Leather,Automatic,30,39.0,8.65,20.0,Silver,Sapphire,Date,55,24500.0
200,Piaget,Altiplano,18k Rose Gold,Leather,Manual,30,38.0,6.0,20.0,White,Sapphire,None,43,20800.0
201,Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300,45.0,15.5,23.0,Black,Sapphire,Date,120,13000.0
202,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,41.0,10.88,22.0,Black,Sapphire,Date,46,9700.0
203,Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50,42.0,14.05,22.0,Silver,Sapphire,Chronograph,50,7400.0
204,Breitling,Superocean Heritage II,Stainless Steel,Rubber,Automatic,200,44.0,14.2,22.0,Black,Sapphire,Date,70,4300.0
205,Cartier,Santos de Cartier,Stainless Steel,Stainless Steel,Automatic,100,39.8,9.08,20.0,Silver,Sapphire,Date,42,6500.0
206,Omega,Speedmaster,Stainless Steel,Leather,Manual,50,42.0,13.7,20.0,Black,Hesalite,Chronograph,48,5500.0
207,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100,40.0,12.4,20.0,Black,Sapphire,"GMT, Date",70,9100.0
208,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50,40.0,8.8,20.0,Silver,Sapphire,Date,70,7500.0
209,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Blue,Sapphire,Date,60,20900.0
210,IWC,Pilot's Watch Mark XVIII,Stainless Steel,Leather,Automatic,60,40.0,10.8,20.0,Black,Sapphire,Date,42,4200.0
211,Patek Philippe,Calatrava,18k White Gold,Leather,Automatic,30,39.0,8.6,20.0,Silver,Sapphire,Date,48,22000.0
212,Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Quartz,300,32.0,9.5,15.0,Blue,Sapphire,None,60,1700.0
213,Tudor,Black Bay,Stainless Steel,Leather,Automatic,200,41.0,12.7,22.0,Black,Sapphire,Date,70,3600.0
214,Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,100,36.0,12.5,20.0,Silver,Sapphire,Date,70,8900.0
